Know. Lvl,Inf,Name,Age,Nationality,2nd Nat,Personality,Position,Ability,Potential,Height,Weight,Right Foot,Left Foot,Club,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
100%,Int,Jim Dombrowski,26,GER,USA,Fairly Professional,GK,,,"6'4""",194 lbs,Very Strong,Reasonable,FC Barcelona,2,1,2,2,8,7,1,2,3,2,14,4,1,11,7,17,15,15,18,17,13,3,10,3,18,12,12,12,13,17,19,19,13,10,13,15,17,15,16,2,17,16,18,11,17,11,18
100%,Int,Fred Menga,23,FRA,COD,Fairly Determined,"M/AM (RL), ST (C)",,,"6'1""",176 lbs,Very Strong,Weak,FC Barcelona,12,14,18,14,14,10,14,12,9,9,15,6,6,18,11,14,7,14,12,14,16,16,11,19,10,12,14,11,16,19,19,15,16,17,14,16,1,3,3,2,3,3,1,3,1,1,2
100%,Inj,Juan Manuel Rolero,23,URU,ESP,Resolute,"DM, M (LC)",,,"5'7""",152 lbs,Reasonable,Very Strong,FC Barcelona,8,8,14,13,14,11,9,9,10,14,15,10,12,16,7,14,15,18,12,16,15,5,16,14,14,18,14,16,13,15,18,7,14,13,16,13,3,3,1,2,1,1,3,3,3,1,3
100%,Int,Mouloud Ouadah,23,FRA,ALG,Resolute,"D (RC), DM",,,"6'0""",171 lbs,Very Strong,Reasonable,FC Barcelona,8,10,12,6,12,10,15,11,12,13,13,8,17,15,16,17,18,15,14,14,17,10,10,12,14,15,11,13,15,14,18,13,14,15,17,15,2,3,3,3,1,2,3,1,1,2,1
100%,Int,Tiago Barros,24,POR,,Fairly Determined,"WB (R), DM, M (C)",,,"6'2""",185 lbs,Very Strong,Reasonable,FC Barcelona,6,10,14,14,12,6,12,13,9,13,15,10,14,17,11,16,17,13,13,15,16,11,8,13,14,18,13,16,13,16,18,18,15,15,16,15,2,1,2,1,2,1,2,3,1,3,1
100%,Int,Eduardo Camavinga,25,FRA,CGO,Resolute,"DM, M (C)",,,"6'1""",171 lbs,Reasonable,Very Strong,FC Barcelona,7,10,14,10,17,8,13,12,5,16,16,9,15,18,12,19,13,16,16,17,17,15,15,14,17,12,18,15,16,17,18,15,15,16,17,15,2,2,2,2,3,3,3,1,1,3,3
100%,Int,Raúl Laporta,24,ESP,,Fairly Determined,"AM (RL), ST (C)",,,"5'11""",160 lbs,Very Strong,Weak,FC Barcelona,10,10,17,16,16,14,12,11,6,8,10,11,7,15,9,13,8,16,11,13,15,17,7,15,10,11,13,12,16,18,17,12,14,16,18,11,1,3,2,2,2,3,1,1,3,3,2
100%,Wnt,Anselm Panadero,24,ESP,,Fairly Determined,"D (R), DM, M (C)",,,"6'2""",178 lbs,Very Strong,Weak,FC Barcelona,7,11,10,10,13,5,11,9,13,13,13,11,16,11,19,16,17,13,14,12,17,4,12,12,14,18,16,15,15,17,17,17,15,16,15,13,1,2,2,2,1,3,3,2,3,4,2
100%,Int,Florentino Luís,28,POR,ANG,Model Citizen,"D (C), DM, M (C)",,,"6'0""",160 lbs,Very Strong,Weak,FC Barcelona,4,9,12,9,16,5,13,11,5,14,14,12,17,14,14,18,15,16,17,17,16,11,12,13,18,16,15,16,14,17,17,13,17,15,17,12,2,1,3,2,2,1,3,3,3,1,4
100%,Int,Dayot Upamecano,29,FRA,GNB,Ambitious,"D (C), DM",,,"6'1""",182 lbs,Very Strong,Fairly Strong,FC Barcelona,4,9,12,7,11,6,13,9,9,17,15,8,18,13,13,15,16,15,15,15,16,12,11,10,14,12,13,15,16,15,17,15,17,18,15,18,3,3,2,2,1,2,1,1,3,2,2
100%,Int,José Cunha,21,POR,,Light-Hearted,"M (R), AM (RL)",,,"5'9""",158 lbs,Very Strong,Weak,FC Barcelona,15,18,16,12,15,16,9,12,8,10,13,13,8,19,17,14,10,13,10,13,17,15,12,15,9,14,15,18,17,17,16,5,13,15,15,12,1,1,1,3,2,2,1,2,2,1,1
100%,Int,Michal Falta,22,CZE,,Resolute,"D/M (RC), AM (R)",,,"5'7""",149 lbs,Very Strong,Weak,FC Barcelona,8,13,13,5,16,5,11,7,12,14,12,9,12,11,12,15,13,12,16,13,16,5,4,11,14,16,12,17,16,17,16,7,13,15,16,12,2,1,2,2,1,4,3,2,4,2,2
100%,,Felipe Faria,22,BRA,ESP,Unambitious,"DM, M (C)",,,"5'9""",154 lbs,Very Strong,Fairly Strong,FC Barcelona,12,12,11,9,17,13,10,13,6,13,18,12,11,14,11,14,9,18,12,14,16,10,4,14,13,14,14,16,12,15,16,7,14,14,14,12,1,3,3,3,2,1,3,1,1,1,1
100%,Int,Aziz Jebali,23,FRA,TUN,Fairly Professional,M/AM (C),,,"5'7""",160 lbs,Very Strong,Reasonable,FC Barcelona,8,9,15,8,18,13,10,12,5,14,15,8,13,18,11,16,11,16,15,17,14,16,5,17,12,16,16,16,16,18,16,10,18,17,15,14,1,1,3,3,1,3,3,1,4,3,2
100%,Inj,Joaquín Cinti,27,ARG,ESP,Fairly Professional,"D (LC), DM, M (C)",,,"5'10""",163 lbs,Strong,Very Strong,FC Barcelona,10,9,11,10,16,14,11,11,6,13,16,10,14,16,9,16,8,12,13,17,14,8,9,12,13,14,18,14,13,10,16,3,15,13,11,12,1,3,2,3,1,1,4,2,1,3,3
100%,,Alessandro Bastoni,29,ITA,,Light-Hearted,D (LC),,,"6'3""",163 lbs,Reasonable,Very Strong,FC Barcelona,5,9,12,9,13,7,14,4,8,15,15,9,14,13,13,17,13,14,15,16,15,11,13,12,17,14,12,13,14,14,16,17,14,15,15,14,3,3,1,3,1,2,2,3,3,3,3
