Know. Lvl,Inf,Name,Age,Nationality,2nd Nat,Personality,Position,Ability,Potential,Height,Weight,Right Foot,Left Foot,Club,Value,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
100%,Inj,Tiago Barros,25,POR,,Fairly Determined,"WB (R), DM, M (C)",,,"6'2""",185 lbs,Very Strong,Reasonable,FC Barcelona,$81M,6,10,14,14,13,6,12,14,9,13,16,10,14,17,11,16,17,13,13,15,16,11,8,14,14,18,13,16,13,17,18,18,15,15,15,15,2,1,2,1,2,1,2,3,1,3,1
100%,,Jean Marie Montas,20,NED,HAI,Light-Hearted,M/AM (C),,,"6'0""",171 lbs,Very Weak,Very Strong,Inter,$74M,14,13,15,12,14,16,11,12,5,9,16,12,12,18,7,17,9,16,11,16,12,15,15,17,12,20,16,18,14,15,19,13,16,13,17,13,1,3,1,3,2,3,1,2,2,1,3
100%,,Grigoris Tolios,21,GER,GRE,Resolute,"M (LC), AM (L)",,,"5'11""",156 lbs,Weak,Very Strong,Napoli,$71M,15,15,16,10,13,9,7,9,7,11,17,10,8,15,14,12,13,13,10,13,17,14,11,13,7,12,14,13,18,16,14,13,13,16,14,9,1,3,3,1,3,2,1,2,2,2,3
100%,,Gianluigi Donnarumma,29,ITA,,Fairly Determined,GK,,,"6'5""",194 lbs,Very Strong,Weak,FC Barcelona,$42.5M,1,1,4,1,9,2,6,1,8,1,9,6,7,7,8,17,15,16,16,16,15,6,13,2,16,15,10,13,10,16,16,18,16,12,15,15,16,15,15,9,14,13,17,14,17,13,15
100%,,Michal Falta,22,CZE,,Resolute,"D (RC), WB (R), M (RC), AM (R)",,,"5'7""",149 lbs,Very Strong,Weak,Tottenham,$41M,8,13,12,5,16,5,11,7,12,14,12,9,12,12,12,15,13,12,16,14,16,5,4,12,14,15,12,17,15,17,16,6,14,15,16,12,2,1,2,2,1,4,3,2,4,2,2
100%,,Álex Tola,20,ESP,,Driven,"DM, M (C), AM (L)",,,"5'10""",163 lbs,Fairly Strong,Very Strong,Inter,$39M,11,10,12,7,17,13,10,10,6,17,18,8,15,15,12,15,15,13,15,16,18,14,5,14,13,17,13,16,12,13,13,7,15,13,17,13,1,3,3,1,3,1,3,1,1,2,1
100%,,Israel,23,BRA,ESP,Fairly Determined,"D (RC), WB (R), DM",,,"6'6""",200 lbs,Very Strong,Weak,Atlético de Madrid,$26M,9,10,9,6,12,11,12,7,10,14,11,6,16,10,13,14,9,13,14,14,16,4,11,10,16,11,10,12,15,15,18,15,9,15,14,14,1,2,2,2,1,3,3,1,1,1,2
100%,Inj,Johnny Babin,18,FRA,MTQ,Balanced,D/M (RL),,,"5'10""",163 lbs,Very Strong,Reasonable,FC Barcelona B,$19.75M,9,11,9,8,14,14,10,7,11,14,13,6,13,12,17,15,14,12,13,14,13,4,12,9,15,19,13,16,17,15,12,15,10,14,15,12,2,2,1,3,1,1,1,3,3,1,2
100%,,Juan Cruz Gómez Caram,23,ARG,ESP,Unambitious,D (RLC),,,"6'4""",191 lbs,Very Strong,Very Strong,Napoli,$18.75M,5,8,9,6,11,7,12,7,9,12,9,6,14,12,8,14,12,11,14,16,15,4,9,10,13,17,9,14,13,12,10,15,12,14,15,14,2,3,2,1,3,2,3,2,2,2,3
100%,,Mohamed N'Guessan,22,FRA,CIV,Fairly Determined,"M (C), AM (RC), ST (C)",,,"5'9""",156 lbs,Very Strong,Weak,Schalke 04,$18.5M,11,15,12,11,11,14,6,15,6,11,13,8,12,13,9,13,8,12,8,13,16,15,13,15,12,17,15,16,15,16,18,10,14,14,14,12,3,3,2,3,2,3,1,1,4,3,3
